school_name,school_type,estimated_enrollment,principal,hours,this_school_feeds_into,neighborhood,school_bus,school_meals,school_code,about,before_school_programs,after_school_programs,special_education_programs,school_day_academic_enrichment,arts_enrichment,student_support_programs,address,phone_number,fax_number,website,assistant_principal,school_tour,language_programs,email,other_campuses,uniforms_policy,athletics,transportation
Claire Lilienthal Alternative School (3-8 Winfield Scott Campus),"Elementary School, K-8 School, Middle School, K-8",705,Dr. Moira Zacharakis,Office closes at 3:30 p.m.,NA,Marina,"94115, 94123","Breakfast, Lunch",479,"We are firmly committed to Claire Lilienthal's tradition of providing equal access to a high quality education for students from every neighborhood and every cultural background. In addition to our General Education classes, we also offer the only Korean Immersion program in the city as well as a successful Special Education Inclusion Program. Every child can learn and build a strong foundation for a bright future. We are a parent partnership school with a shared and focused vision that every child will succeed. Opportunities for parent involvement are every day, and throughout the year. Parents choose to focus on a particular area of interest, such as assisting in the classroom during learning center time, weekly library volunteers, noontime monitoring, academic tutoring, garden projects, and more.",NA,NA,Claire Lilienthal has acoustical modifications in the facilities.,Project-based learning,"San Francisco Arts Education Project,  Streetside Stories,  PERC",Social worker,"3630 Divisadero Street, San Francisco, CA, 94123",415-749-3516,415-749-3431,http://www.clairelilienthal.org/,Patricia Harmon,School tours are by appointment only.  We hold five tours at the Madison Campus (K-2) and one tour at the Scott Campus (3-8). Sign up for tour reservations online. No phone messages please.,Korean Dual Language Immersion,sch479@sfusd.edu,Claire Lilienthal Alternative School (K-2 Madison Campus),NA,NA,NA
Claire Lilienthal Alternative School (K-2 Madison Campus),"Elementary School, K-8 School, K-8",705,Dr. Moira Zacharakis,Office closes at 3:30 p.m.,NA,Inner Richmond,"94115, 94124","Breakfast, Lunch",479,"Thank you for your interest in Claire Lilienthal, we look forward to meeting you and partnering with you on the education of your child!",NA,"Tae Kwon Do, chess club, drama club, Spanish club, other special interest after-school clubs.",Claire Lilienthal has acoustical modifications in the facilities.,Project-based learning,"San Francisco Arts Education Project, Streetside Stories, PERC",Social worker,"3950 Sacramento Street, San Francisco, CA, 94118",415-750-8603,415-750-8606,http://www.clairelilienthal.org/,Patricia Harmon,Please contact the Madison Campus at 415-750-8603 or see the tour sign ups on our school website.,Korean Dual Language Immersion,sch479@sfusd.edu,Claire Lilienthal Alternative School (3-8 Winfield Scott Campus),NA,NA,NA
Clarendon Alternative Elementary School,"Elementary School, K-5",560,Peter Van Court,9:25 am-3:25 pm,Presidio Middle School,Twin Peaks,"94110, 94112, 94115, 94134, 94107","Breakfast, Lunch",478,"We believe that high achieving and joyful learners are students who command a strong foundation in the core curriculum, while exhibiting a high degree of engagement in challenging, relevant, integrated, and thematic lessons—which promote critical thinking and interaction among classmates. Our teachers teach the core curriculum using a greater variety of instructional materials and strategies. Clarendon offers a safe and secure environment that actively welcomes every family as critical members of the community, and partners in their child's education. We emphasize regular email and phone contact with families, and are available to meet with families when requested. Many of the staff members post homework and announcements on their own websites.",On-site childcare opens at 7:30  a.m.,On-site childcare closes at 6:30 p.m.,Separate class - Mild/moderate,Tutoring in school,Writing or poetry,Mentoring,"500 Clarendon Avenue, San Francisco, CA, 94131",415-759-2796,415-759-2799,Second Community ProgramJapanese Bilingual Bicultural Program,Mary Cashen,Call 415-759-2782 for tour information and dates.,Japanese Foreign Language in Elementary School (FLES) Program,sch478@sfusd.edu,NA,NA,NA,NA
Cleveland Elementary School,"Elementary School, K-5",390,Marlon Escobar,9:30 am-3:30 pm,Visitacion Valley Middle School,Excelsior,94112,"Breakfast, Lunch, After School Supper",481,"Our goal is that all students are learning—not just the curriculum, but learning how to be citizens, learning how to make positive contributions to society, learning how to solve problems, and learning how to be respectful of themselves and one another. They should be growing, intellectually and socially, on a daily basis, pushing the limits, and learning the big ideas. Parents, teachers, staff and students should be involved in the process of decision making at Cleveland, planning events that will create a family environment. Celebrations such as Latino Heritage, Black Pride, our winter music festival, spring carnival, end-of-the-year Field Day, and the beginning of the year Picnic bring parents and families together with opportunities to network and collaborate.","ExCEL program offered at no cost to family from 8:00 to 9:30 a.m. for grades 1-5, with kindergarten enrollment allowed for kindergartners with older siblings in the program.","ExCEL program offered at no cost to family from the end of school until 6:30 p.m. for grades 1-5, with kindergarten enrollment allowed for kindergartners with older siblings in the program.",Resource Specialist services,Technology teacher,Vocal Performing Arts,NA,"455 Athens Street, San Francisco, CA, 94112",415-469-4709,415-469-4051,NA,Judith Sullivan,Fridays at 10 a.m. from October to January.,Spanish Biliteracy Program,NA,NA,"Navy blue pants, white collared shirt and burgundy sweater or Cleveland sweatshirt",NA,NA
Commodore Sloat Elementary School,"Elementary School, K-5",400,Fowzigiah Abdolcader,8:40 am-2:40 pm,Aptos Middle School,Lakeside,NA,"Breakfast, Lunch",488,"At Commodore Sloat, children learn by doing. Our experienced staff leads children to do more than find the right answers. We learn to pay attention to how we think as well. As a high-performing school, our dedicated staff knows how to support students in reaching higher levels of academic performance. Beyond academics, we design and deliver instruction that teaches students how to discern the difference between right and wrong, how to form evidence-based conclusions, and how to become citizens in a rapidly-changing and complex world. Our sixteen classrooms extend learning beyond the basics. By integrating arts, music, and gardening experiences into instruction, students retain what they have learned and learn things that matter. Fitness, environmental stewardship, singing, performing, and joyful learners are all part of what you can expect to find here. The mission of Commodore Sloat School is to develop and nurture creative, 21st Century critical thinkers who show tenacity in resolving complex problems, care for themselves and others, navigate change with grace, and recognize the value of service to their communities.",Before-school care provided by Stonestown YMCA onsite from 7:00 - 8:30 a.m.,After-school care provided by Stonestown YMCA. Academic and enrichment programs are included daily.,Resource Specialist services,Education Outside,"Poetry (3-5), music program, chorus (K-2), SFArtsED",Social worker,"50 Darien Way, San Francisco, CA, 94127",415-759-2807,415-759-2843,http://commodoresloat.com/,NA,Tuesdays from October to January,NA,sch488@sfusd.edu,NA,NA,NA,NA
Daniel Webster Elementary School,"Elementary School, K-5",330,Carrie Betti,8:40 am-2:40 pm,James Lick Middle School,Potrero Hill,"94102, 94107, 94124","Breakfast, Lunch, After School Supper",497,"As a school, we proactively embrace the intellectual rigor of the common core standards. Students are exposed to a variety of teaching strategies that include whole group, small group, and individualized instruction. Daniel Webster is committed to arts integration across curriculum and content areas, exposing all children to multiple forms of art. Students across grade levels, K-5 engage in visual arts, music, dance, and theater. We are committed to the social-emotional development of all students and provide a comprehensive school-wide investment in Response-To-Intervention (RTI) and Positive Behavioral Intervention and Support (PBIS). We have a school partnership with Seneca, who support and staffs our student Wellness Center. As a school we implement Restorative Practices, PBIS, and mindfulness.",Before care: 8:10-8:40 a.m.,"Program: K-5th grade, 2:30-6:00 p.m., 8 a.m.-6 p.m. (Spring Break & Summer), 415-920-5076.",Resource Specialist services,Tutoring in school,"Integrated Arts Curriculum: Our students receive a well-rounded arts experience in dance, art and music.",Therapist,"465 Missouri Street, San Francisco, CA, 94107",415-695-5787,415-826-6813,http://danielwebster-sf.com/,NA,"For more information and to sign-up for a tour, please contact the office at (415) 695-5787.",Spanish Dual Language Immersion,sch497@sfusd.edu,NA,Navy pants/skirts & White tops,NA,NA
Dianne Feinstein Elementary School,"Elementary School, K-5",520,Dr. Salwa Zaki,7:50 am-1:50 pm,Aptos Middle School,Parkside/Sunset,NA,"Breakfast, Lunch",539,"We provide cooperative learning experiences and offer enrichment activities that encourage student independence, and positive interaction. We have many school programs that work toward supporting our students. These include the Umoja cultural diversity celebration, the cross-age Buddies program, Special Education support staff, English Language Learner tutoring, and a partnership with Lincoln High School student volunteers who provide one-on-one-assistance in classrooms. We have a number of evening and weekend community building and education programs such as Art Night, Family Movie Night, family education workshops, garden work days, and a community carnival. We hold school wide morning circle meetings three times a week to provide opportunities for children to receive praise and recognition and build respect for themselves and each other.",NA,Mandarin Language,SOAR (Success Opportunity Achievement Resilience),Education Outside,Visual arts,Health and wellness center,"2550 25th Avenue, San Francisco, CA, 94116",415-615-8460,415-242-2532,NA,NA,"Sign up for School Tour here, which are held from October through January. Appointments and identification required. Tours are for adults only.",NA,sch539@sfusd.edu,NA,NA,NA,NA
Dolores Huerta Elementary School,"Early Education, Elementary School, PreK-5",395,Luis Rodriguez,8:30 am-2:50 pm,Everett Middle School,Glen Park,94131,"Breakfast, Lunch, After School Supper",537,"Students, staff, and parents identify our extracurricular activities (Capoeira, Ballet Folklorico, drama, art, gardening, field trips, schoolwide celebrations and festivals) as contributing to adventurous learning and creating joyful students. Additionally, our use of student-centered behavior support programs creates a safe, stable environment. Dolores Huerta Elementary enjoys a close working relationship with the after-school program, Mission YMCA.The YMCA staff works closely with Dolores Huerta Elementary staff to ensure extended learning opportunities. YMCA includes not only homework assistance, but everyday enrichment activities that including science, arts and crafts, music, cooking, sports, nutrition, theater, gardening, and leadership. Dolores Huerta Elementary and YMCA work hand-in-hand to create relationships amongst and between all school events. We believe in promoting creativity, and we value diversity.","YMCA - Fee based, 7:00 - 8:15 a.m.",YMCA- a blended fee based/ ExCEl afterschool program 2:40-6:00 p.m.,Separate class - Moderate/severe for K-5,Playworks,"Visual and performing artists (PreK-3: Drama, grades 4-5: visual art), instrumental music (grades 4-5), residency consultants (varied)",NA,"65 Chenery Street, San Francisco, CA, 94131",415-695-5669,415-695-5343,https://wearedoloreshuerta.com,NA,Tours are on Friday mornings 8:20 a.m. Visit wearedoloreshuerta.com.,Spanish Dual Language Learner Pre-Kindergarten,NA,NA,"Children may also wear old Fairmount white shirts (but not plain white shirts) until they are worn out or the 2020-2021 school year, whichever happens first.",NA,NA
Dr. Charles R. Drew College Preparatory Academy,"Early Education, Elementary School, PreK/TK-5",215,Vidrale Franklin,7:50 am-1:55 pm,Willie L. Brown Jr. Middle SchoolA.P. Giannini Middle School,Bayview,"94124, 94107, 94134","Breakfast, Lunch, After School Supper",507,We offer a PreK program for children 2 years and 9 months to 5 years old. Learn more about our PreK program.,NA,"Program: PreK , TK & K-5, 7:30 a.m.-5:30 p.m., 415-330-1546.",Separate class - Mild/moderate for K-5,Tutoring in school,"Choral music, movement class, poetry, gardening, cooking, art, Aims music program, Spanish/ music program",NA,"50 Pomona Street, San Francisco, CA, 94124",415-330-1526,415-822-9210,NA,De Trice Rogers,Call school for times and dates.,NA,NA,NA,"Girls: Black skirt, jumper or pants, white collared shirt/polo/peter pan collar, burgundy sweater or vest, all-black shoes",NA,NA
Dr. George Washington Carver Elementary School,"Elementary School, K-5",170,Emmanuel Stewart,8:30 am-2:40 pm,Willie L. Brown Jr. Middle SchoolAptos Middle School,Bayview,NA,"Breakfast, Lunch, After School Supper",625,"Carver offers students a variety of enrichment opportunities, including an after-school program. Teachers working in the after-school program provide 1:1 tutoring and cooperative lessons, as well as implement programs such as “X - KIDZ” (a hands on science program) and Street Side Stories (a creative arts program). Other programs for parents include parent leadership classes, Family Math Night and Family Literacy Night. Historically, Carver has been an award-winning school, and we strive to maintain the excellence of ourselves and our achievers. Most recently, Principal Emmanuel Stewart was awarded San Francisco’s Mayor’s 2017-2018 Elementary Principal of the Year!",NA,"Carver’s after-school program is in partnership with the Boys & Girls Clubs of San Francisco. It’s a Beacon Program that provides enrichment activities, physical fitness activities, tutoring and homework support, family engagement, vision screening and dental screening. The focus is to help Carver students develop the values, skills, attitudes, character and behavior that will enable them to succeed in life.",Resource Specialist services,Tutoring in school,For grade 4-5,Therapist,"1360 Oakdale Avenue, San Francisco, CA, 94124",415-330-1540,415-467-7217,NA,Makaela Manning,Friday mornings. Morning visits by appointment.,NA,NA,NA,"Girls: navy blue pants ONLY, white blouse, Mayfair plaid jumper, Mayfair sweater.",NA,NA
Dr. William L. Cobb Elementary School,"Early Education, Elementary School, PreK-5",180,Joseph Funk,Each Thursday our students are released early so that teachers and staff can participate in regular Professional Development and Planning.,Roosevelt Middle School,"Lower Pacific Heights, Western Addition",NA,"Breakfast, Lunch",525,What do Cobb Tigers do? We ROAR with excellence!,NA,Afterschool programming provided by the Beacon / Buchanan YMCA from end of school day to 6 p.m. every day.  The Beacon offers a balance of academic support and enrichment activities for approximately 60 students each day.,"Cobb also provides Speech and Language, Occupational Therapy and Physical Therapy to students with IEPs as appropriate.",Tutoring in school,"Students at Cobb are exposed to a variety of visual and performing arts, including drawing, painting, dancing, music, and drama.  Students enjoy Playworks to promote fun and safe play during recess.",Therapist,"2725 California Street, San Francisco, CA, 94115",415-749-3505,415-749-3436,NA,NA,She will be able to make individual arrangements with interested families.,NA,sch525@sfusd.edu,NA,"Uniforms are not required, but are encouraged.",NA,NA
E.R. Taylor Elementary School,"Early Education, Elementary School, PreK-5",660,Angienette Estonina,8:40 am-2:45 pm,"Dr. Martin Luther King, Jr. Middle School",Excelsior,94134,"Breakfast, Lunch",513,"E.R. Taylor seeks to promote intellectual development, physical and mental health, self-discipline and cultural sensitivity so that each student can achieve their fullest potential and be college-bound. E.R. Taylor is a unique school located in a quiet neighborhood in the southeast section of San Francisco with a variety of programs to support student achievement. The school consists of Pre-K-5th grade classes with English Learner Development, Spanish Bilingual, and Chinese Bilingual classrooms available. In addition there is a Healthy Start program that provides family support services to help our parents/guardians support their children to reach their potential. We seek to communicate clearly and frequently with parents through our Parent Workshop Classes and Monthly Principal Newsletters and Coffee. Through the Second Step program, and the Positive Interventions Behavior Support (PBIS) framework, we stress positive peer relationships among students and maintain high expectations for student behavior school-wide. Our students have opportunities to participate as leaders through community service projects. We provide opportunities for student choice in learning to encourage children to discover their own talents and strengths through class projects, or performances, such as gardening activities, hands-on science experiments, and visual and performing arts. Our children benefit from a variety of extended learning opportunities, such as our Artist-in-Residence, Playworks, and the Green Garden program. Many students enjoy music through the Taylor Student Chorus and instrumental music lessons offered to 4th and 5th grade students. The enriching After School Program provides fun-filled lessons, including sports, music, cooking and art.",NA,"ExCEL program offered at no cost to family, from end of school until 5:45 PM (grades 1-5). 12 sessions Scores Soccer (grades 3-5). Community based programs enroll and accompany students to after school locations.",Separate class - Mild/moderate with autism focus for grades K-5,Technology teacher,Visual artists work with grades K-5; artist residency programs,Family liaison,"423 Burrows Street, San Francisco, CA, 94134",415-330-1530,415-468-1742,NA,Ana Zambrano,First Monday of month at 9:00 a.m.,Spanish Biliteracy Program,zambranoa@sfusd.edu,NA,"White shirt/blouse with a collar, black pants, jumpers/skirts. Maroon sweaters and sweatshirts are available to order.",NA,NA
Edwin and Anita Lee Newcomer School,"Elementary School, K-5",100,Victor Tam,8:30 am-2:35 pm,Francisco Middle SchoolVisitacion Valley Middle School,"Chinatown, Financial District",NA,"Breakfast, Lunch, After School Supper",476,"Fifth-graders feed into Francisco Middle School OR Visitacion Valley Middle School. As a one-year newcomer program, the K-4 students have the opportunity to transfer to any SFUSD elementary school. Generally, grades K-1-2-3-4 newcomer students who enroll after JANUARY 1st are eligible to remain here for another school year.",NA,"2:35 - 6:00 p.m. The ExCEL Afterschool Program is run by the Chinatown YMCA.  It is on-site and provides tutorial, enrichment, and recreational activities for students to extend their opportunity to learn and use English.  The program is fee based but is subsidized for students who qualify.",Resource Specialist services,Technology teacher,"All students participate in visual and performing arts classes that are focused on drama, music and the visual arts.  In addition, we have the District Instrumental Program available to students in grades 3-5.",Family liaison,"657 Merchant Street, San Francisco, CA, 94111",415-291-7918,415-291-7965,NA,NA,Please call for an appointment.,Chinese Newcomer Program,sch476@sfusd.edu,NA,NA,NA,NA
El Dorado Elementary School,"Elementary School, K-5",180,Sylvia Cordero,7:50 am-1:50 pm,Visitacion Valley Middle School,Visitacion Valley,"94124, 94134","Breakfast, Lunch",521,"We offer students extended learning opportunities that allow them to explore areas of learning beyond traditional academics. These programs include expanded visual and performing arts experiences with professional artists and musicians, as well as science and outdoor education partnerships with Kids in Parks and Excelsior Science Center. We also host monthly events that incorporate school-wide programs, such as Harvest of the Month, Cultural Assemblies, Literacy Night and Math Night.",NA,Real Options for City Kids (ROCK) M-F 1:50 to 6:00 p.m.,Separate class - Social-emotional/behavioral enhanced classroom (SOAR) for grades 3-5,Tutoring in school,"Music Instruction for K-5 once a week, 3-4 grade ballet residency, K-3 visual art residencies, afterschool program music/art programs (The Nature of Music and others), 4-5 art teachers (once a week), drama K-3",Family liaison,"70 Delta Street, San Francisco, CA, 94134",415-330-1537,415-467-2435,http://www.eldoradoelementarysf.com,Charles Glover,Tuesday mornings 8-10 a.m. or by appointment. Spanish and English tours available.,NA,sch521@sfusd.edu,NA,NA,NA,NA
